"Code","Symbol","Industry","Board"
"OKM1V.HE","Okmetic Oyj","Unknown","HEL"
"OLVAS.HE","Olvi Oyj","Unknown","HEL"
"ORA1V.HE","Oral Hammaslaakarit Oyj","Unknown","HEL"
"OREIT.HE","Orava Asuntorahasto Oyj","Unknown","HEL"
"OREITN0114.HE","Orava Resident Real Estate Inv new 1/14","Unknown","HEL"
"OREITN0115.HE","Orava Asuntorahasto uudet","Unknown","HEL"
"OREITN0116.HE","Orava Asuntorahasto uudet","Unknown","HEL"
"ORNAV.HE","Orion Oyj","Unknown","HEL"
"ORNBV.HE","Orion Oyj","Unknown","HEL"
"OTE1V.HE","Outotec Oyj","Unknown","HEL"
"OUT1V.HE","Outokumpu Oyj","Unknown","HEL"
"OUT1VN0114.HE","Outokumpu Oyj New shares 2014","Unknown","HEL"
"PIHLIS.HE","Pihlajalinna Oyj","Unknown","HEL"
"PIZZA.HE","Kotipizza Group Oyj","Unknown","HEL"
"PKC1V.HE","PKC Group Oyj","Unknown","HEL"
"PKK1V.HE","Pohjois-Karjalan Kirjapaino Oyj","Unknown","HEL"
"PNA1V.HE","Panostaja Oyj","Unknown","HEL"
"POH1S.HE","Pohjola Bank plc","Unknown","HEL"
"PON1V.HE","Ponsse Oyj","Unknown","HEL"
"POY1V.HE","Poyry PLC","Unknown","HEL"
"QPR1V.HE","QPR Software Oyj","Unknown","HEL"
"QTCOM.HE","Qt Group Oyj","Unknown","HEL"
"RAIKV.HE","Raisio Yhtyma Oyj","Unknown","HEL"
"RAIVV.HE","Raisio Yhtyma Oyj","Unknown","HEL"
"RAP1V.HE","Rapala VMC Corp","Unknown","HEL"
"REG1V.HE","Revenio Group Oyj","Unknown","HEL"
"RESTA.HE","Restamax Oyj","Unknown","HEL"
"RMR1V.HE","Ramirent Oyj","Unknown","HEL"
"RTRKS.HE","Rautaruukki Corporation","Unknown","HEL"
"RUTAV.HE","Raute Oyj","Unknown","HEL"
"SAA1V.HE","Sanoma Oyj","Unknown","HEL"
"SAGCV.HE","Saga Furs Oyj","Unknown","HEL"
"SAMAS.HE","Sampo Oyj","Unknown","HEL"
"SCI1V.HE","Sievi Capital Oyj","Unknown","HEL"
"SCL1V.HE","Scanfil Oyj","Unknown","HEL"
"SDA1V.HE","Sponda Oyj","Unknown","HEL"
"SDA1VN0116.HE","Sponda Oyj New Shares 2016","Unknown","HEL"
"SFT1V.HE","Stonesoft Oy","Unknown","HEL"
"SIILI.HE","Siili Solutions Oyj","Unknown","HEL"
"SLG-OMXH25.HE","Seligson & Co OMX Helsinki 25 UCITS ETF","Unknown","HEL"
"SOPRA.HE","Soprano Oyj","Unknown","HEL"
"SOSI1.HE","Sotkamo Silver AB","Unknown","HEL"
"SOSI1N0114.HE","Sotkamo Silver AB New shares 2014","Unknown","HEL"
"SRV1V.HE","SRV Yhtiot Oyj","Unknown","HEL"
"SSABAH.HE","SSAB AB ser. A","Unknown","HEL"
"SSABBH.HE","SSAB AB ser. B","Unknown","HEL"
"SSH1V.HE","SSH Communications Security Oyj","Unknown","HEL"
"STABAETF-NIF.HE","Nordea Stable Equities UCITS ETF","Unknown","HEL"
"STCAS.HE","Stockmann Oyj","Unknown","HEL"
"STCBV.HE","Stockmann Oyj","Unknown","HEL"
"STEAV.HE","Stora Enso OYJ","Unknown","HEL"
"STERV.HE","Stora Enso OYJ","Unknown","HEL"
"STQ1V.HE","Solteq Oyj","Unknown","HEL"
"SUY1V.HE","Suominen Oyj","Unknown","HEL"
"TAALA.HE","Taaleri Oyj","Unknown","HEL"
"TAM1V.HE","Takoma Oyj","Unknown","HEL"
"TELIA1.HE","Telia Company AB","Unknown","HEL"
"TEM1V.HE","Tecnotree Oyj","Unknown","HEL"
"TEM1VN0112.HE","Tecnotree Oyj new shares 2012","Unknown","HEL"
"TIE1V.HE","Tieto Oyj","Unknown","HEL"
"TII1V.HE","Svago Oyj Abp","Unknown","HEL"
"TIK1V.HE","Tikkurila Oyj","Unknown","HEL"
"TLT1V.HE","Teleste Oyj","Unknown","HEL"
"TLV1V.HE","Talvivaaran Kaivososakeyhtio Oyj","Unknown","HEL"
"TLV1VN0113.HE","Talvivaara Mining New Shares 2013","Unknown","HEL"
"TOKMAN.HE","Tokmanni Group Oyj","Unknown","HEL"
"TPS1V.HE","Technopolis Oyj","Unknown","HEL"
"TPS1VN0112.HE","Technopolis Oyj Uudet 2012","Unknown","HEL"
"TPS1VN0113.HE","Technopolis Oyj New Shares 2013","Unknown","HEL"
"TRH1V.HE","Trainers' House Oyj","Unknown","HEL"
"TTM1V.HE","Talentum Oyj","Unknown","HEL"
"TULAV.HE","Tulikivi Oyj","Unknown","HEL"
"TUT1V.HE","Turvatiimi Oyj","Unknown","HEL"
"TUT1VN0112.HE","Turvatiimi Corp new share 1","Unknown","HEL"
"UNR1V.HE","Uponor Oyj","Unknown","HEL"
"UPM1V.HE","UPM-Kymmene Corporation","Unknown","HEL"
"UUTEC.HE","Plc Uutechnic Group Oyj","Unknown","HEL"
"UUTECN0215.HE","Plc Uutechnic Group Oyj New Shares 2015","Unknown","HEL"
"VAC1V.HE","Vacon Oyj","Unknown","HEL"
"VAIAS.HE","Vaisala Oyj","Unknown","HEL"
"VALMT.HE","Valmet Corp","Unknown","HEL"
"VALOE.HE","Valoe Oyj","Unknown","HEL"
"VIK1V.HE","Viking Line Abp","Unknown","HEL"
"WRT1V.HE","Wartsila Oyj Abp","Unknown","HEL"
"WUF1V.HE","Wulff-Yhtiot Oyj","Unknown","HEL"
"XNS1V.HE","Ixonos Oyj","Unknown","HEL"
"XNS1VN0113.HE","Ixonos Oyj New Shares 2013","Unknown","HEL"
"XNS1VN0213.HE","Ixonos Oyj New Shares 2013/2","Unknown","HEL"
"XNS1VN0215.HE","Ixonos Oyj New Shares 2015","Unknown","HEL"
"YLEPS.HE","Yleiselektroniikka Oyj","Unknown","HEL"
"YTY1V.HE","YIT Oyj","Unknown","HEL"
"ZEE1V.HE","Zeeland Oyj","Unknown","HEL"
